Source Pipeline,Stellar Catalog,TIC,Full TOI ID,Signal ID,TOI Disposition,EXOFOP Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,VMag Value,VMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Alerted,Edited
spoc,gaia-dr2,176860064,1457.01,1,PC,APC,354.83668,45.719897,7.114,0.006,7.617,0.023,1766.359365,0.0013,6.375556,0.0007,2.784942,0.204,2638.408383,40.5502,17,No information on the star; V-shaped,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,240968774,1467.01,1,PC,PC,19.113929,49.23378,10.5977,0.007301,12.293,0.017,1766.983728,0.002812,5.973384,0.001413,1.605698,0.753235,1373.411277,166.74307,17,,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,431514478,1475.01,1,PC,PC,357.001182,49.790535,8.77994,0.0061,8.79,0.03,1767.618296,0.001783,8.495351,0.00127,0.906055,0.48717,718.486945,96.2614,17,Significant scattered light; only two transits; period could be doubled; second transit deeper than the first one; low priority,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,243185500,1468.01,1,PC,PC,16.654062,19.225878,10.8858,0.007542,12.5,0.2,1766.928147,0.002013,15.531925,0.002694,1.75933,0.214408,3429.583608,286.74982,17,possible multi,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,16920150,1459.01,1,PC,PC,19.361505,26.746175,10.1583,0.0062,11.031,0.014,1765.545981,0.004576,9.155934,0.003159,3.141202,0.862038,908.241256,124.59452,17,,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,243185500,1468.02,2,PC,PC,16.654062,19.225878,10.8858,0.007542,12.5,0.2,1765.678776,0.001847,1.880305,0.000266,1.055416,0.550014,1529.822108,180.69878,17,Centroid offset; but not towards a particular star; possible multi,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,17005768,1460.01,1,PC,APC,20.61057,26.925749,9.9176,0.006,10.56,0.008,1765.265174,0.000837,6.842651,0.000476,3.345632,0.071432,8120.077557,152.06758,17,There is a positive flare-like feature following the transit events,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,44631965,1461.01,1,PC,APC,22.236225,35.864814,11.3805,0.0079,11.953,0.024,1767.317052,0.000472,3.568678,0.00015,2.581118,0.029444,20121.185466,267.08032,17,,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,432549364,1476.01,1,KP,KP,0.362154,39.383828,10.2242,0.0061,10.632,0.007,1765.533801,0.000299,1.217509,2.8e-05,2.731299,0.028348,6587.475934,74.7258,17,KELT 1b,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,306263608,1471.01,1,PC,PC,30.904272,21.280864,8.5725,0.006,9.2,0.03,1767.42,0.003702,20.772024,0.005211,6.543088,0.256768,1400.875814,74.66255,17,Likely multi-planet system; centroid offset not significant,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,306955329,1472.01,1,PC,PC,14.113588,48.637575,10.5508,0.0061,11.302,0.014,1765.605845,0.001838,6.364103,0.000996,2.553493,0.269312,2514.173371,184.78159,17,,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,190998418,1463.01,1,KP,KP,7.053932,42.061373,12.0401,0.0079,12.614,0.08,1764.891401,0.00074,2.879303,0.000173,2.786377,0.069171,12364.563866,257.76584,17,Qatar-5 b,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,352413427,1473.01,1,PC,PC,15.598197,37.185483,8.297,0.006,8.844,0.002,1769.784413,0.002719,5.255294,0.001298,3.274737,0.26765,557.893757,51.192787,17,Level 1,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
qlp,gaia-dr2,191284318,1458.01,1,KP,KP,9.57316,42.463116,10.374,0.006,10.911,0.008,1766.82154,0.00047,2.77598,0.00011,2.984,0.043,13920.0,1.21301,17,HAT-P-16 b,2019-12-05 16:42:06+0000,2021-04-27 11:18:31+0000
spoc,tic8,240681314,1477.01,1,KP,KP,9.458792,51.288766,10.6496,0.006,10.966,0.007,1765.648866,0.000604,2.732681,0.000116,2.251578,0.037578,9141.319377,293.4926,17,WASP-93 b,2019-12-05 19:37:03+0000,2021-04-27 11:18:31+0000
qlp,gaia-dr2,177244357,1538.01,1,PC,PC,356.995758,47.655686,9.893,0.006,10.352,0.005,1768.84707,0.00567,6.54692,0.00492,4.589,0.638,2400.0,7.33841,17,Low priority; other very long transit-like features in the raw light curve; period could be double,2019-12-05 21:41:10+0000,2021-04-27 11:18:31+0000
qlp,gaia-dr2,202375913,1527.01,1,PC,PC,5.965464,51.468301,9.697,0.009,9.982,0.003,1768.23572,0.00291,5.06203,0.00128,3.683,0.29,2900.0,1.08938,17,,2019-12-05 21:41:10+0000,2021-04-27 11:18:31+0000
qlp,gaia-dr2,15692883,1493.01,1,PC,CP,17.474856,25.681696,9.712,0.01,10.295,0.006,1764.8563,0.0026,5.14124,0.00096,5.405,0.802,3710.0,4.56814,17,,2019-12-05 21:41:09+0000,2021-04-27 11:18:31+0000
qlp,gaia-dr2,411608801,1494.01,1,PC,CP,18.995212,21.616946,10.3,0.009,10.81,0.009,1765.60356,0.00114,5.02647,0.00042,2.76,0.36,7280.0,4.0447,17,,2019-12-05 21:41:09+0000,2021-04-27 11:18:31+0000
qlp,gaia-dr2,288348498,1551.01,1,PC,PC,19.700452,41.506184,9.967,0.008,10.337,0.006,1765.11138,0.00229,1.67546,0.00029,1.202,0.196,1250.0,2.65702,17,,2019-12-05 21:41:11+0000,2021-04-27 11:18:31+0000
qlp,gaia-dr2,318746829,1540.01,1,PC,FP,349.718637,56.008613,10.423,0.023,14.105,0.08,1769.3971,0.00287,5.23121,0.00326,3.826,0.673,3043.98,5.1476,17,TFOP NEB; possible secondary; Gaia parameters suggest star is a giant,2019-12-05 21:41:10+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,319068154,1541.01,1,PC,FP,350.108867,55.524124,9.744,0.006,9.882,0.004,1767.31768,0.00269,3.79738,0.00089,1.673,0.438,3020.0,35.3473,17,Slight depth-aperture correlation; transit looks asymmetric,2019-12-05 21:41:10+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,345143460,1533.01,1,PC,PC,355.246562,57.48539,10.113,0.006,10.953,0.011,1765.70813,0.00608,3.6462,0.00142,1.738,0.38,1030.0,3.51324,17,Single transit-like feature at 1782,2019-12-05 21:41:10+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,431585347,1543.01,1,PC,FP,357.674088,50.354986,10.06,0.007,10.091,0.004,1766.20793,0.00682,5.13664,0.00317,4.45,1.002,930.0,3.21692,17,,2019-12-05 21:41:10+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,127425841,1545.01,1,PC,FP,6.030682,40.165618,9.832,0.006,10.071,0.005,1765.87153,0.00202,1.51614,0.00023,1.918,0.175,2060.99,1.39679,17,V-shaped,2019-12-05 21:41:10+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,194203348,1546.01,1,PC,PC,1.196959,41.594006,9.877,0.006,10.425,0.005,1764.83324,0.00821,1.13345,0.0006,1.894,0.435,490.0,1.8831,17,Potential level 1; some depth-aperture correlation,2019-12-05 21:41:10+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,283474780,1490.01,1,PC,PC,13.017401,36.392935,8.395,0.006,9.254,0.004,1765.91435,0.01417,3.9943,0.00339,4.876,0.872,550.0,1.9233,17,Variability in the star,2019-12-05 21:41:09+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,53875855,1491.01,1,PC,PC,14.652756,34.148258,10.4,0.006,10.936,0.01,1769.16143,0.00329,4.49321,0.00119,3.002,0.216,2680.0,2.40519,17,signficiant odd-even; likely EB,2019-12-05 21:41:09+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,409520860,1547.01,1,PC,FP,355.451894,37.186635,10.397,0.006,11.114,0.011,1765.11416,0.00614,0.71933,0.00023,1.474,0.341,478.823,2.62489,17,Likely SV; low SNR,2019-12-05 21:41:11+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,269509393,1513.01,1,PC,FP,350.373371,60.175587,10.287,0.006,10.868,0.009,1764.84417,0.00698,1.76589,0.00087,3.807,0.82,730.0,2.27349,17,Slight depth-aperture correlation,2019-12-05 21:41:10+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,440100539,1548.01,1,PC,PC,4.358048,42.282323,8.728,0.006,9.267,0.003,1769.32363,0.00996,12.6017,0.00585,4.835,0.791,800.0,2.10335,17,Potential level 1 candidate; could be half the period,2019-12-05 21:41:11+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,354594208,1492.01,1,PC,FP,1.887828,32.437771,9.761,0.006,10.297,0.006,1765.22813,0.00379,0.86673,0.00021,1.089,0.223,662.925,2.93055,17,,2019-12-05 21:41:09+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,191146556,1549.01,1,PC,FP,8.304434,46.340334,10.396,0.008,10.907,0.008,1766.83545,0.00186,2.58593,0.00036,3.182,0.154,7140.03,2085.03,17,slight odd-even,2019-12-05 21:41:11+0000,2021-04-27 11:18:32+0000
spoc,gaia-dr2,299158887,1554.01,1,KP,KP,289.226192,49.548181,11.058,0.006,12.02,0.026,1690.16071,0.00239,9.43526,0.00101,2.655304,0.341,4037.600467,5.26669,14,Kepler-63 b,2019-12-06 22:17:30+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,117322779,1558.01,1,PC,FP,48.352264,49.783757,10.485,0.033,14.558,0.06,1791.07301,0.00363,0.68601,0.0002,1.614,0.276,910.0,1.49444,18,,2019-12-19 20:58:20+0000,2021-04-27 11:18:32+0000
qlp,gaia-dr2,241076290,1560.01,1,PC,PC,29.032831,52.585503,10.194,0.007,10.302,0.006,1790.84795,0.00147,0.25792,3e-05,0.475,0.149,950.0,18.3704,18,a/Rs nearly 1; likely EB,2019-12-19 20:58:20+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,245462406,1561.01,1,PC,FP,38.821642,55.70325,10.295,0.015,11.008,0.009,1791.81704,0.00647,2.27456,0.00108,3.32,0.688,1020.0,74.4735,18,Slightly V-shaped,2019-12-19 20:58:20+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,249862365,1562.01,1,PC,FP,38.122724,52.704289,9.102,0.006,9.625,0.003,1791.5299,0.00594,0.98999,0.00047,2.05,0.553,420.0,2.23588,18,Significant odd-even; likely EB,2019-12-19 20:58:20+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,249945230,1563.01,1,PC,PC,38.809453,48.274186,9.44,0.006,10.445,0.006,1805.45128,,,,5.816,0.479,4430.0,1.99959,18,single transit,2019-12-19 20:58:20+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,250724252,1564.01,1,PC,APC,33.50523,53.12154,10.284,0.006,10.552,0.006,1791.20154,0.00143,0.55973,6e-05,1.546,0.133,3619.53,2.93566,18,Planet radius likely smaller than 14 Earth radius. V-shaped; possible depth aperture correlation.,2019-12-19 20:58:20+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,251384275,1565.01,1,PC,PC,44.72027,58.73525,9.209,0.006,9.537,0.003,1808.47423,,,,5.661,0.447,2970.0,1130.33,18,single transit; close in epoch to TIC 259151170 but with no underlying systematic linking the two,2019-12-19 20:58:20+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,256414077,1566.01,1,PC,FP,15.606345,60.715607,10.426,0.017,10.973,0.007,1793.38207,0.00423,3.01106,0.0008,3.073,0.226,1617.22,2.33785,18,,2019-12-19 20:58:20+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,259151170,1567.01,1,PC,APC,50.345023,52.692512,10.374,0.006,11.04,0.02,1808.52242,,,,4.149,0.042,54500.0,1.19002,18,single transit; close in epoch to TIC 251384275 but with no underlying systematic linking the two,2019-12-19 20:58:20+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,285666479,1569.01,1,PC,APC,43.610675,52.071048,10.424,0.012,11.077,0.009,1791.98363,0.00513,1.71614,0.00072,2.038,0.285,681.449,2.11556,18,,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,285674856,1570.01,1,PC,PC,53.19629,51.884566,9.488,0.012,9.737,0.004,1790.81038,0.01327,1.74626,0.00163,3.88,0.608,1110.0,4.3667,18,other features at different periods in the BLS,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,285677945,1571.01,1,PC,FP,53.098973,50.499031,10.235,0.029,10.763,0.009,1791.56106,0.00558,1.2427,0.00049,1.563,0.315,663.745,2.69023,18,Possible depth aperture correlation,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,292321872,1572.01,1,PC,FP,31.902208,45.500172,10.456,0.007,10.855,0.009,1794.15217,0.00354,8.66698,0.00261,6.104,0.507,9854.3,1035.3,18,Asymmetric transit shape; uncertain period,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,316254876,1575.01,1,PC,FP,51.988668,54.865686,10.377,0.006,11.041,0.01,1793.17459,0.00412,2.46094,0.00079,3.091,0.253,5508.87,647.469,18,,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,332154944,1577.01,1,PC,FP,19.27813,57.514342,9.6,0.006,10.156,0.003,1791.36882,0.00096,0.99837,7e-05,1.632,0.084,2730.0,0.743409,18,Check neighbor 332154930,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,348135793,1578.01,1,PC,FP,34.376944,56.421514,10.104,0.006,10.597,0.007,1791.58678,0.00162,1.97741,0.00024,6.549,0.076,5470.0,2.98176,18,Difference images failed. Possible depth aperture correlation between 2 and 3.,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,354400186,1579.01,1,PC,FP,27.737993,48.352346,9.774,0.009,9.844,0.005,1794.28172,0.00084,9.07768,0.00056,2.78,0.101,19171.9,573.101,18,likely EB; Rs 2.5; Rp ~26,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,354469661,1580.01,1,PC,KP,28.282386,52.053894,9.179,0.006,9.727,0.004,1792.47078,0.00062,4.79539,0.00023,4.834,0.088,6650.0,0.426369,18,Large planet candidate; could be EB.,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,370759867,1581.01,1,PC,PC,28.163214,55.186034,9.77,0.006,10.322,0.006,1810.30671,,,,4.23,0.253,8410.0,2787.44,18,Single transit,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,374400599,1582.01,1,PC,FP,34.697935,64.356395,10.019,0.006,10.317,0.004,1791.8149,0.00212,1.89253,0.00027,3.451,0.089,14119.9,942.243,18,,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,50120414,1588.01,1,PC,PC,39.891132,62.433311,8.951,0.023,9.291,0.003,1793.48463,0.00342,3.5804,0.00094,3.598,0.556,920.0,0.912536,18,active star; slightly large planet candidate,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,52041724,1589.01,1,PC,FP,14.119491,65.67899,9.875,0.006,10.282,0.005,1800.80678,0.00053,,,4.026,0.251,12650.0,2.04692,18,single transit superimposed on BEB; large,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,71854745,1590.01,1,PC,FP,26.299418,54.568457,10.215,0.01,10.357,0.006,1793.51014,0.00691,3.10315,0.00208,3.535,0.674,1760.07,212.688,18,Slightly crowded field; uncertain planet radius,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
spoc,gaia-dr2,186599508,1592.01,1,PC,FP,45.087954,39.068572,9.766,0.006,10.337,0.008,1794.89641,0.002295,5.631807,0.001207,3.455309,0.383548,1186.148187,81.28653,18,check neighbors,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,192372961,1593.01,1,PC,PC,45.598308,43.183853,9.122,0.007,9.68,0.03,1792.29644,0.00617,2.06313,0.00099,2.157,0.485,600.0,2.56623,18,large pc around large star (Rs 6.1),2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,201154493,1594.01,1,PC,FP,56.14332,41.064372,9.748,0.013,9.926,0.005,1792.1989,0.00408,1.51233,0.00057,2.59,0.367,640.0,1.33455,18,odd/even,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,385105624,1595.01,1,PC,FP,50.808001,46.682183,10.451,0.006,11.043,0.017,1793.37454,0.00139,1.74903,0.00026,1.851,0.485,3390.0,10.9233,18,V-shaped; secondary which is also consistent with the secondary from a Hot Jupiter; could be on TIC 642958048. Check neighbors.,2019-12-19 20:58:21+0000,2021-05-13 20:11:06+0000
qlp,gaia-dr2,431899140,1596.01,1,PC,PC,56.222547,45.507191,10.089,0.02,10.615,0.008,1792.20585,0.00381,1.97656,0.0007,3.102,0.758,1120.0,4.88661,18,Check fainter neighbors,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,68152139,1597.01,1,PC,FP,44.401995,40.016762,10.134,0.01,10.781,0.01,1792.46525,0.00272,0.73772,0.00018,1.057,0.158,980.0,2.19839,18,,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
spoc,gaia-dr2,67418624,1598.01,1,PC,PC,28.660402,37.005124,8.634,0.006,9.145,0.003,1791.62051,0.001201,1.103694,9.8e-05,0.838974,0.257358,461.560796,38.681328,18,Low Signal-to-Noise,2019-12-19 20:58:21+0000,2021-04-27 11:18:33+0000
spoc,gaia-dr2,129979528,1599.01,1,KP,KP,36.712743,37.550483,7.876,0.006,8.14,0.03,1791.414296,0.000169,1.219868,1.6e-05,2.860253,0.007458,13474.805021,133.82266,18,WASP-33 b,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,187029841,1600.01,1,PC,FP,34.555922,38.478891,9.66,0.006,10.053,0.005,1791.80096,0.00173,0.36113,5e-05,1.87,0.187,970.0,0.952825,18,a/Rs only slightly bigger than 1; short period,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,139375960,1601.01,1,PC,PC,38.361445,41.013436,10.104,0.006,10.66,0.006,1793.27728,0.00127,5.33155,0.00052,6.191,0.15,4220.0,0.467679,18,Difference image shows an offset orbit 1.,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,129991079,1602.01,1,PC,PC,37.132307,40.891361,10.438,0.006,11.292,0.015,1792.50412,0.01002,6.15952,0.00486,3.834,0.887,1230.0,5.42282,18,2 stars in pixel; correlation with stellar variability,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,73448352,1603.01,1,PC,KP,38.308144,30.3605,10.187,0.006,10.609,0.008,1794.3362,0.00089,4.73231,0.00039,3.309,0.269,8190.0,24.0567,18,,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,118301361,1604.01,1,PC,FP,34.195823,29.570497,9.081,0.006,9.402,0.003,1793.39828,0.00388,3.46608,0.00112,4.403,0.28,1620.0,443.03,18,Possible signature of exomoon ~6 hours before the primary transit.,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,101037590,1605.01,1,PC,PC,54.481097,33.079859,9.629,0.006,10.197,0.008,1798.7416,0.00122,8.70769,0.00143,2.745,0.304,4920.0,5.685,18,Significant odd-even; possible single transits,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,125735470,1606.01,1,PC,APC,56.660406,27.471521,8.86,0.018,9.711,0.004,1795.8723,0.00199,4.71371,0.00114,1.602,0.16,1760.0,85.7529,18,TICv8 SPLIT on TIC  640763859 and 640763860 ,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
qlp,gaia-dr2,26433869,1607.01,1,PC,FP,56.814325,30.149512,8.411,0.008,9.488,0.005,1791.9029,0.0028,1.03578,0.00021,1.42,0.133,530.0,1.02879,18,small depth aperture correlation; large planet candidate,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
spoc,gaia-dr2,138017750,1608.01,1,PC,APC,50.800589,33.078384,7.428,0.006,7.96,0.03,1792.459651,0.000509,2.472722,0.000108,2.427149,0.026744,2946.394165,54.891167,18,active star,2019-12-19 20:58:22+0000,2021-04-27 11:18:33+0000
spoc,gaia-dr2,388076005,1622.01,1,PC,FP,318.049179,68.052345,9.394,0.006,9.92,0.004,1955.866361,0.004265,1.714019,0.00047,5.233587,0.29658,1943.504335,125.54909,24,check 1981348402 - no stellar information,2019-12-19 20:58:22+0000,2021-04-27 11:18:34+0000
qlp,gaia-dr2,407394748,1623.01,1,PC,APC,5.420288,77.880028,9.529,0.006,9.81,0.004,1793.03588,0.00111,1.50455,1e-05,1.105,0.218,1140.0,1.40645,25,2 stars in pixel; TFOP FP retired as SB2,2019-12-19 20:58:22+0000,2021-04-27 11:18:34+0000
spoc,gaia-dr2,157586003,1626.01,1,KP,KP,279.262424,40.01869,12.055,0.007,12.591,0.103,2011.266158,0.001221,3.332685,0.000293,3.725005,0.088556,8500.663135,163.51752,26,WASP-153 b,2020-01-14 19:29:36+0000,2021-04-27 11:18:34+0000
spoc,tic8,348673213,1639.01,1,PC,PC,35.807158,56.570164,12.974,0.007335,14.382,0.16,1791.468047,0.002783,0.901465,0.000192,2.556215,0.382585,3156.565826,241.35936,18,Level one candidate; check neighbors; crowded field,2020-01-14 19:46:38+0000,2021-04-27 11:18:34+0000
spoc,tic8,286355915,1637.01,1,PC,APC,37.893261,34.368916,10.6479,0.0085,11.094,0.013,1793.115658,0.000539,4.076758,0.000171,4.365686,0.040429,10466.951777,108.85384,18,,2020-01-14 19:46:38+0000,2021-04-27 11:18:34+0000
spoc,tic8,165551882,1633.01,1,PC,FA,266.766256,57.224761,12.5441,0.007418,14.795,0.033,1798.104217,0.004239,12.15828,0.005805,2.140684,0.73049,3430.776264,515.45435,18,Marginal level one candidate; possible instrument noise,2020-01-14 19:46:38+0000,2021-04-27 11:18:34+0000
spoc,tic8,422923265,1641.01,1,PC,PC,40.245575,42.871276,9.616,0.0071,9.556,0.004,1791.787255,0.001256,1.864989,0.000181,1.008516,0.211027,1159.43003,98.74032,18,Centroid offset; not centered on another star,2020-01-14 19:46:38+0000,2021-04-27 11:18:34+0000
spoc,tic8,29054413,1631.01,1,PC,PC,50.916357,25.048072,10.4289,0.0061,11.458,0.023,1795.502383,0.002248,7.626095,0.001614,1.289492,0.822931,1491.824612,262.56607,18,Potential level one; period could be double,2020-01-14 19:46:38+0000,2021-04-27 11:18:34+0000
